Timestamp Start;Timestamp End;Run #;Tot Clients;Tot Avg X;Tot Avg R;Tot Avg U;CPU Demand;
2015-12-8 00:03:34;2015-12-8 00:06:34;1;1100;173;1;7.69504000000000000000;.08896000000000000000;
2015-12-8 00:09:26;2015-12-8 00:12:26;1;2200;349;1;13.29470000000000000000;.07618739255014326647;
2015-12-8 00:15:24;2015-12-8 00:18:24;1;3300;523;1;19.94405000000000000000;.07626787762906309751;
2015-12-8 00:22:01;2015-12-8 00:25:01;1;4400;697;1;26.51650000000000000000;.07608751793400286944;
2015-12-8 00:28:06;2015-12-8 00:31:06;1;5500;881;1;33.60760000000000000000;.07629421112372304199;
2015-12-8 00:34:50;2015-12-8 00:37:50;1;6600;1046;1;40.36775000000000000000;.07718499043977055449;
2015-12-8 00:41:26;2015-12-8 00:44:26;1;7700;1224;1;49.18800000000000000000;.08037254901960784313;
2015-12-8 00:48:20;2015-12-8 00:51:20;1;8800;1400;2;58.65130000000000000000;.08378757142857142857;
2015-12-8 00:55:01;2015-12-8 00:58:01;1;9900;1569;38;69.35655000000000000000;.08840860420650095602;
2015-12-8 01:02:02;2015-12-8 01:05:02;1;11000;1743;108;79.67040000000000000000;.09141755593803786574;
2015-12-8 01:08:44;2015-12-8 01:11:44;2;1100;175;1;7.37943000000000000000;.08433634285714285714;
2015-12-8 01:14:33;2015-12-8 01:17:33;2;2200;349;1;13.17970000000000000000;.07552836676217765042;
2015-12-8 01:20:24;2015-12-8 01:23:24;2;3300;524;1;19.59335000000000000000;.07478377862595419847;
2015-12-8 01:26:25;2015-12-8 01:29:25;2;4400;700;1;26.30045000000000000000;.07514414285714285714;
2015-12-8 01:32:26;2015-12-8 01:35:26;2;5500;877;1;34.27630000000000000000;.07816716077537058152;
2015-12-8 01:39:12;2015-12-8 01:42:12;2;6600;1049;1;41.39095000000000000000;.07891506196377502383;
2015-12-8 01:45:45;2015-12-8 01:48:45;2;7700;1225;1;49.29070000000000000000;.08047461224489795918;
2015-12-8 01:52:36;2015-12-8 01:55:36;2;8800;1399;2;58.49060000000000000000;.08361772694781987133;
2015-12-8 01:59:11;2015-12-8 02:02:11;2;9900;1571;10;67.97770000000000000000;.08654067472947167409;
2015-12-8 02:06:12;2015-12-8 02:09:12;2;11000;1751;31;78.24185000000000000000;.08936818960593946316;
2015-12-8 02:12:55;2015-12-8 02:15:55;3;1100;173;1;6.98886000000000000000;.08079606936416184971;
2015-12-8 02:18:44;2015-12-8 02:21:44;3;2200;350;1;13.20630000000000000000;.07546457142857142857;
2015-12-8 02:24:40;2015-12-8 02:27:40;3;3300;526;1;19.38385000000000000000;.07370285171102661596;
2015-12-8 02:30:37;2015-12-8 02:33:37;3;4400;700;1;27.09315000000000000000;.07740900000000000000;
2015-12-8 02:36:39;2015-12-8 02:39:39;3;5500;874;1;34.21615000000000000000;.07829782608695652173;
2015-12-8 02:42:44;2015-12-8 02:45:44;3;6600;1053;1;41.98070000000000000000;.07973542260208926875;
2015-12-8 02:49:12;2015-12-8 02:52:12;3;7700;1227;1;48.85000000000000000000;.07962510187449062754;
2015-12-8 02:55:49;2015-12-8 02:58:49;3;8800;1403;2;58.79460000000000000000;.08381268709907341411;
2015-12-8 03:02:47;2015-12-8 03:05:47;3;9900;1572;42;68.69415000000000000000;.08739713740458015267;
